study_id,timepoint_category,prevalence,N,iter
Gasparrini_2019_infant,DOL 9-42,0.2692307692307692,26,15
Gibson_2016_preterm,DOL 1-8,0.21052631578947367,114,15
Gibson_2016_preterm,DOL 43-455,0.1875,16,15
Gibson_2016_preterm,DOL 9-42,0.2903225806451613,93,15
Morrow_2016_preterm_infants,DOL 1-8,0.1320754716981132,53,15
Morrow_2016_preterm_infants,DOL 9-42,0,20,15
PRIMAL,DOL 1-8,0.09482758620689655,116,15
PRIMAL,DOL 43-455,0.04,50,15
PRIMAL,DOL 9-42,0.2672811059907834,434,15
Parnanen_2019_infant,DOL 1-8,0,1,15
Parnanen_2019_infant,DOL 9-42,0.1875,32,15
Rahman_2018_preterm_NICU,DOL 1-8,0.10752688172043011,93,15
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,15
Rahman_2018_preterm_NICU,DOL 9-42,0.1,190,15
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,16
Gasparrini_2019_infant,DOL 43-455,0.1111111111111111,63,16
Gasparrini_2019_infant,DOL 9-42,0.19230769230769232,26,16
Gibson_2016_preterm,DOL 1-8,0.22807017543859648,114,16
Gibson_2016_preterm,DOL 43-455,0.1875,16,16
Gibson_2016_preterm,DOL 9-42,0.26881720430107525,93,16
Morrow_2016_preterm_infants,DOL 1-8,0.1320754716981132,53,16
Morrow_2016_preterm_infants,DOL 9-42,0,20,16
PRIMAL,DOL 1-8,0.09482758620689655,116,16
PRIMAL,DOL 43-455,0.08,50,16
PRIMAL,DOL 9-42,0.2534562211981567,434,16
Parnanen_2019_infant,DOL 1-8,0,1,16
Parnanen_2019_infant,DOL 9-42,0.1875,32,16
Rahman_2018_preterm_NICU,DOL 1-8,0.11827956989247312,93,16
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,16
Rahman_2018_preterm_NICU,DOL 9-42,0.11052631578947368,190,16
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,17
Gasparrini_2019_infant,DOL 43-455,0.1111111111111111,63,17
Gasparrini_2019_infant,DOL 9-42,0.23076923076923078,26,17
Gibson_2016_preterm,DOL 1-8,0.19298245614035087,114,17
Gibson_2016_preterm,DOL 43-455,0.1875,16,17
Gibson_2016_preterm,DOL 9-42,0.27956989247311825,93,17
Morrow_2016_preterm_infants,DOL 1-8,0.1320754716981132,53,17
Morrow_2016_preterm_infants,DOL 9-42,0,20,17
PRIMAL,DOL 1-8,0.10344827586206896,116,17
PRIMAL,DOL 43-455,0.02,50,17
PRIMAL,DOL 9-42,0.26497695852534564,434,17
Parnanen_2019_infant,DOL 1-8,0,1,17
Parnanen_2019_infant,DOL 9-42,0.1875,32,17
Rahman_2018_preterm_NICU,DOL 1-8,0.11827956989247312,93,17
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,17
Rahman_2018_preterm_NICU,DOL 9-42,0.12105263157894737,190,17
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,18
Gasparrini_2019_infant,DOL 43-455,0.1111111111111111,63,18
Gasparrini_2019_infant,DOL 9-42,0.2692307692307692,26,18
Gibson_2016_preterm,DOL 1-8,0.22807017543859648,114,18
Gibson_2016_preterm,DOL 43-455,0.125,16,18
Gibson_2016_preterm,DOL 9-42,0.27956989247311825,93,18
Morrow_2016_preterm_infants,DOL 1-8,0.1320754716981132,53,18
Morrow_2016_preterm_infants,DOL 9-42,0,20,18
PRIMAL,DOL 1-8,0.09482758620689655,116,18
PRIMAL,DOL 43-455,0.06,50,18
PRIMAL,DOL 9-42,0.2488479262672811,434,18
Parnanen_2019_infant,DOL 1-8,0,1,18
Parnanen_2019_infant,DOL 9-42,0.15625,32,18
Rahman_2018_preterm_NICU,DOL 1-8,0.10752688172043011,93,18
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,18
Rahman_2018_preterm_NICU,DOL 9-42,0.11052631578947368,190,18
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,19
Gasparrini_2019_infant,DOL 43-455,0.1111111111111111,63,19
Gasparrini_2019_infant,DOL 9-42,0.23076923076923078,26,19
Gibson_2016_preterm,DOL 1-8,0.21052631578947367,114,19
Gibson_2016_preterm,DOL 43-455,0.125,16,19
Gibson_2016_preterm,DOL 9-42,0.26881720430107525,93,19
Morrow_2016_preterm_infants,DOL 1-8,0.16981132075471697,53,19
Morrow_2016_preterm_infants,DOL 9-42,0.05,20,19
PRIMAL,DOL 1-8,0.09482758620689655,116,19
PRIMAL,DOL 43-455,0.04,50,19
PRIMAL,DOL 9-42,0.25806451612903225,434,19
Parnanen_2019_infant,DOL 1-8,0,1,19
Parnanen_2019_infant,DOL 9-42,0.15625,32,19
Rahman_2018_preterm_NICU,DOL 1-8,0.0967741935483871,93,19
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,19
Rahman_2018_preterm_NICU,DOL 9-42,0.09473684210526316,190,19
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,20
Gasparrini_2019_infant,DOL 43-455,0.1111111111111111,63,20
Gasparrini_2019_infant,DOL 9-42,0.23076923076923078,26,20
Gibson_2016_preterm,DOL 1-8,0.22807017543859648,114,20
Gibson_2016_preterm,DOL 43-455,0.125,16,20
Gibson_2016_preterm,DOL 9-42,0.2903225806451613,93,20
Morrow_2016_preterm_infants,DOL 1-8,0.16981132075471697,53,20
Morrow_2016_preterm_infants,DOL 9-42,0,20,20
PRIMAL,DOL 1-8,0.11206896551724138,116,20
PRIMAL,DOL 43-455,0.02,50,20
PRIMAL,DOL 9-42,0.2672811059907834,434,20
Parnanen_2019_infant,DOL 1-8,0,1,20
Parnanen_2019_infant,DOL 9-42,0.125,32,20
Rahman_2018_preterm_NICU,DOL 1-8,0.07526881720430108,93,20
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,20
Rahman_2018_preterm_NICU,DOL 9-42,0.11052631578947368,190,20
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,21
Gasparrini_2019_infant,DOL 43-455,0.12698412698412698,63,21
Gasparrini_2019_infant,DOL 9-42,0.3076923076923077,26,21
Gibson_2016_preterm,DOL 1-8,0.20175438596491227,114,21
Gibson_2016_preterm,DOL 43-455,0.125,16,21
Gibson_2016_preterm,DOL 9-42,0.27956989247311825,93,21
Morrow_2016_preterm_infants,DOL 1-8,0.09433962264150944,53,21
Morrow_2016_preterm_infants,DOL 9-42,0.05,20,21
PRIMAL,DOL 1-8,0.09482758620689655,116,21
PRIMAL,DOL 43-455,0.1,50,21
PRIMAL,DOL 9-42,0.2672811059907834,434,21
Parnanen_2019_infant,DOL 1-8,0,1,21
Parnanen_2019_infant,DOL 9-42,0.1875,32,21
Rahman_2018_preterm_NICU,DOL 1-8,0.11827956989247312,93,21
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,21
Rahman_2018_preterm_NICU,DOL 9-42,0.08421052631578947,190,21
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,22
Gasparrini_2019_infant,DOL 43-455,0.1111111111111111,63,22
Gasparrini_2019_infant,DOL 9-42,0.2692307692307692,26,22
Gibson_2016_preterm,DOL 1-8,0.22807017543859648,114,22
Gibson_2016_preterm,DOL 43-455,0.125,16,22
Gibson_2016_preterm,DOL 9-42,0.24731182795698925,93,22
Morrow_2016_preterm_infants,DOL 1-8,0.22641509433962265,53,22
Morrow_2016_preterm_infants,DOL 9-42,0,20,22
PRIMAL,DOL 1-8,0.11206896551724138,116,22
PRIMAL,DOL 43-455,0.04,50,22
PRIMAL,DOL 9-42,0.2465437788018433,434,22
Parnanen_2019_infant,DOL 1-8,0,1,22
Parnanen_2019_infant,DOL 9-42,0.1875,32,22
Rahman_2018_preterm_NICU,DOL 1-8,0.11827956989247312,93,22
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,22
Rahman_2018_preterm_NICU,DOL 9-42,0.1,190,22
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,23
Gasparrini_2019_infant,DOL 43-455,0.1111111111111111,63,23
Gasparrini_2019_infant,DOL 9-42,0.2692307692307692,26,23
Gibson_2016_preterm,DOL 1-8,0.20175438596491227,114,23
Gibson_2016_preterm,DOL 43-455,0.0625,16,23
Gibson_2016_preterm,DOL 9-42,0.27956989247311825,93,23
Morrow_2016_preterm_infants,DOL 1-8,0.1509433962264151,53,23
Morrow_2016_preterm_infants,DOL 9-42,0,20,23
PRIMAL,DOL 1-8,0.11206896551724138,116,23
PRIMAL,DOL 43-455,0.08,50,23
PRIMAL,DOL 9-42,0.2626728110599078,434,23
Parnanen_2019_infant,DOL 1-8,0,1,23
Parnanen_2019_infant,DOL 9-42,0.21875,32,23
Rahman_2018_preterm_NICU,DOL 1-8,0.10752688172043011,93,23
Rahman_2018_preterm_NICU,DOL 43-455,0.21428571428571427,14,23
Rahman_2018_preterm_NICU,DOL 9-42,0.11578947368421053,190,23
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,24
Gasparrini_2019_infant,DOL 43-455,0.1111111111111111,63,24
Gasparrini_2019_infant,DOL 9-42,0.23076923076923078,26,24
Gibson_2016_preterm,DOL 1-8,0.23684210526315788,114,24
Gibson_2016_preterm,DOL 43-455,0.125,16,24
Gibson_2016_preterm,DOL 9-42,0.27956989247311825,93,24
Morrow_2016_preterm_infants,DOL 1-8,0.11320754716981132,53,24
Morrow_2016_preterm_infants,DOL 9-42,0,20,24
PRIMAL,DOL 1-8,0.08620689655172414,116,24
PRIMAL,DOL 43-455,0.1,50,24
PRIMAL,DOL 9-42,0.26036866359447003,434,24
Parnanen_2019_infant,DOL 1-8,0,1,24
Parnanen_2019_infant,DOL 9-42,0.21875,32,24
Rahman_2018_preterm_NICU,DOL 1-8,0.12903225806451613,93,24
Rahman_2018_preterm_NICU,DOL 43-455,0.21428571428571427,14,24
Rahman_2018_preterm_NICU,DOL 9-42,0.10526315789473684,190,24
Gasparrini_2019_infant,DOL 1-8,0.3333333333333333,21,25
Gasparrini_2019_infant,DOL 43-455,0.12698412698412698,63,25
Gasparrini_2019_infant,DOL 9-42,0.23076923076923078,26,25
Gibson_2016_preterm,DOL 1-8,0.21929824561403508,114,25
Gibson_2016_preterm,DOL 43-455,0,16,25
Gibson_2016_preterm,DOL 9-42,0.2903225806451613,93,25
Morrow_2016_preterm_infants,DOL 1-8,0.11320754716981132,53,25
Morrow_2016_preterm_infants,DOL 9-42,0,20,25
PRIMAL,DOL 1-8,0.08620689655172414,116,25
PRIMAL,DOL 43-455,0.04,50,25
PRIMAL,DOL 9-42,0.2626728110599078,434,25
Parnanen_2019_infant,DOL 1-8,0,1,25
Parnanen_2019_infant,DOL 9-42,0.1875,32,25
Rahman_2018_preterm_NICU,DOL 1-8,0.0967741935483871,93,25
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,25
Rahman_2018_preterm_NICU,DOL 9-42,0.10526315789473684,190,25
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,26
Gasparrini_2019_infant,DOL 43-455,0.1111111111111111,63,26
Gasparrini_2019_infant,DOL 9-42,0.19230769230769232,26,26
Gibson_2016_preterm,DOL 1-8,0.20175438596491227,114,26
Gibson_2016_preterm,DOL 43-455,0.125,16,26
Gibson_2016_preterm,DOL 9-42,0.24731182795698925,93,26
Morrow_2016_preterm_infants,DOL 1-8,0.16981132075471697,53,26
Morrow_2016_preterm_infants,DOL 9-42,0,20,26
PRIMAL,DOL 1-8,0.09482758620689655,116,26
PRIMAL,DOL 43-455,0.04,50,26
PRIMAL,DOL 9-42,0.27419354838709675,434,26
Parnanen_2019_infant,DOL 1-8,0,1,26
Parnanen_2019_infant,DOL 9-42,0.21875,32,26
Rahman_2018_preterm_NICU,DOL 1-8,0.11827956989247312,93,26
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,26
Rahman_2018_preterm_NICU,DOL 9-42,0.10526315789473684,190,26
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,27
Gasparrini_2019_infant,DOL 43-455,0.09523809523809523,63,27
Gasparrini_2019_infant,DOL 9-42,0.2692307692307692,26,27
Gibson_2016_preterm,DOL 1-8,0.22807017543859648,114,27
Gibson_2016_preterm,DOL 43-455,0.125,16,27
Gibson_2016_preterm,DOL 9-42,0.26881720430107525,93,27
Morrow_2016_preterm_infants,DOL 1-8,0.18867924528301888,53,27
Morrow_2016_preterm_infants,DOL 9-42,0,20,27
PRIMAL,DOL 1-8,0.08620689655172414,116,27
PRIMAL,DOL 43-455,0.06,50,27
PRIMAL,DOL 9-42,0.2626728110599078,434,27
Parnanen_2019_infant,DOL 1-8,0,1,27
Parnanen_2019_infant,DOL 9-42,0.1875,32,27
Rahman_2018_preterm_NICU,DOL 1-8,0.12903225806451613,93,27
Rahman_2018_preterm_NICU,DOL 43-455,0.14285714285714285,14,27
Rahman_2018_preterm_NICU,DOL 9-42,0.11052631578947368,190,27
Gasparrini_2019_infant,DOL 1-8,0.38095238095238093,21,28
Gasparrini_2019_infant,DOL 43-455,0.09523809523809523,63,28
Gasparrini_2019_infant,DOL 9-42,0.2692307692307692,26,28
Gibson_2016_preterm,DOL 1-8,0.21929824561403508,114,28
Gibson_2016_preterm,DOL 43-455,0.125,16,28
Gibson_2016_preterm,DOL 9-42,0.25806451612903225,93,28
Morrow_2016_preterm_infants,DOL 1-8,0.11320754716981132,53,28
Morrow_2016_preterm_infants,DOL 9-42,0,20,28
